Time(s)	X	Y	Z
176,91	-1,561	1,404	-1,272
177,43	-1,557	1,405	-1,269
177,94	-1,515	1,438	-1,236
178,44	-1,503	1,444	-1,234
178,94	-1,491	1,462	-1,237
179,45	-1,556	1,405	-1,291
179,97	-1,573	1,398	-1,310
180,47	-1,572	1,400	-1,306
180,97	-1,567	1,404	-1,297
181,47	-1,553	1,401	-1,268
181,98	-1,527	1,400	-1,233
182,48	-1,510	1,395	-1,189
182,99	-1,525	1,388	-1,128
183,49	-1,750	1,337	-1,110
183,99	-1,897	1,226	-1,084
184,51	-1,967	1,142	-1,066
185,01	-1,963	1,161	-1,061
185,51	-1,840	1,292	-1,093
186,01	-1,582	1,377	-1,116
186,52	-1,455	1,399	-1,114
187,04	-1,482	1,412	-1,159
187,54	-1,503	1,413	-1,184
188,04	-1,524	1,413	-1,207
188,55	-1,529	1,414	-1,214
189,05	-1,545	1,406	-1,214
189,55	-1,562	1,402	-1,229
190,06	-1,563	1,397	-1,219
190,58	-1,550	1,394	-1,203
191,08	-1,550	1,394	-1,201
191,59	-1,557	1,393	-1,210
192,09	-1,551	1,395	-1,220
192,61	-1,550	1,394	-1,213
193,11	-1,551	1,395	-1,218
193,62	-1,551	1,396	-1,224
194,13	-1,550	1,395	-1,225
194,65	-1,546	1,398	-1,216
195,15	-1,549	1,421	-1,226
195,66	-1,541	1,426	-1,227
196,16	-1,539	1,430	-1,240
196,66	-1,540	1,428	-1,233
197,18	-1,548	1,413	-1,234
197,68	-1,555	1,410	-1,243
198,19	-1,538	1,425	-1,232
198,70	-1,533	1,425	-1,241
199,20	-1,531	1,426	-1,238
199,71	-1,527	1,425	-1,236
200,22	-1,525	1,430	-1,224
200,74	-1,551	1,410	-1,261
201,25	-1,587	1,418	-1,298
201,75	-1,631	1,408	-1,291
202,27	-1,574	1,413	-1,202
202,77	-1,524	1,401	-1,141
203,28	-1,523	1,403	-1,163
203,78	-1,556	1,406	-1,211
204,29	-1,574	1,405	-1,245
204,79	-1,561	1,427	-1,244
205,30	-1,556	1,428	-1,248
205,81	-1,579	1,399	-1,262
206,33	-1,572	1,396	-1,257
206,83	-1,576	1,394	-1,254
207,34	-1,583	1,387	-1,248
207,86	-1,583	1,386	-1,252
208,36	-1,582	1,386	-1,254
208,86	-1,572	1,383	-1,244
209,36	-1,565	1,379	-1,239
209,87	-1,553	1,382	-1,234
210,38	-1,569	1,380	-1,242
210,89	-1,582	1,375	-1,263
211,40	-1,583	1,375	-1,270
211,91	-1,569	1,383	-1,257
212,41	-1,551	1,383	-1,225
212,91	-1,514	1,383	-1,197
213,41	-1,511	1,383	-1,201
213,93	-1,512	1,385	-1,197
214,44	-1,568	1,381	-1,245
214,95	-1,582	1,377	-1,270
215,47	-1,573	1,379	-1,260
215,97	-1,576	1,380	-1,243
216,47	-1,582	1,379	-1,256
216,98	-1,576	1,379	-1,239
217,48	-1,579	1,373	-1,220
217,99	-1,547	1,384	-1,188
218,49	-1,502	1,395	-1,211
219,01	-1,492	1,394	-1,210
219,52	-1,532	1,388	-1,202
220,04	-1,532	1,388	-1,210
220,54	-1,525	1,383	-1,215
221,05	-1,532	1,388	-1,228
221,56	-1,529	1,387	-1,224
222,06	-1,524	1,385	-1,226
222,58	-1,522	1,380	-1,225
223,09	-1,502	1,383	-1,223
223,61	-1,491	1,386	-1,223
224,11	-1,487	1,392	-1,229
224,61	-1,487	1,397	-1,233
225,12	-1,500	1,396	-1,229
225,62	-1,531	1,387	-1,219
226,13	-1,551	1,380	-1,213
226,63	-1,550	1,383	-1,223
227,15	-1,546	1,398	-1,239
227,65	-1,548	1,408	-1,270
228,16	-1,555	1,397	-1,313
228,68	-1,569	1,383	-1,322
229,19	-1,572	1,379	-1,284
229,69	-1,552	1,385	-1,241
230,19	-1,527	1,389	-1,220
230,70	-1,531	1,391	-1,222
231,20	-1,538	1,387	-1,227
231,72	-1,541	1,388	-1,222
232,23	-1,550	1,387	-1,228
232,74	-1,560	1,383	-1,224
233,24	-1,551	1,385	-1,213
233,75	-1,543	1,387	-1,204
234,26	-1,517	1,390	-1,188
234,77	-1,495	1,388	-1,179
235,29	-1,515	1,382	-1,177
235,80	-1,534	1,386	-1,193
236,31	-1,546	1,390	-1,208
236,83	-1,541	1,395	-1,212
237,33	-1,543	1,394	-1,216
237,83	-1,535	1,396	-1,217
238,33	-1,536	1,395	-1,221
238,84	-1,540	1,394	-1,217
239,36	-1,535	1,393	-1,212
239,87	-1,529	1,393	-1,211
240,37	-1,537	1,396	-1,213
240,88	-1,529	1,397	-1,229
241,40	-1,539	1,395	-1,232
241,91	-1,527	1,408	-1,231
242,41	-1,524	1,420	-1,237
242,93	-1,523	1,419	-1,233
243,45	-1,525	1,421	-1,227
