Time(s)	X	Y	Z
140,17	-0,850	1,832	-1,272
140,68	-0,847	1,833	-1,281
141,20	-0,842	1,833	-1,287
141,71	-0,835	1,838	-1,293
142,22	-0,835	1,839	-1,295
142,72	-0,833	1,842	-1,297
143,24	-0,827	1,844	-1,299
143,75	-0,828	1,845	-1,293
144,25	-0,830	1,843	-1,292
144,75	-0,829	1,842	-1,290
145,27	-0,830	1,840	-1,287
145,78	-0,832	1,841	-1,286
146,28	-0,874	1,823	-1,324
146,79	-0,904	1,806	-1,360
147,29	-0,939	1,796	-1,372
147,79	-0,976	1,791	-1,370
148,31	-0,952	1,777	-1,325
148,82	-0,895	1,766	-1,280
149,32	-0,870	1,805	-1,272
149,82	-0,848	1,810	-1,270
150,34	-0,834	1,838	-1,274
150,84	-0,823	1,842	-1,283
151,35	-0,862	1,823	-1,310
151,86	-0,890	1,809	-1,335
152,36	-0,898	1,805	-1,335
152,88	-0,898	1,805	-1,332
153,39	-0,897	1,805	-1,328
153,89	-0,889	1,805	-1,316
154,41	-0,893	1,804	-1,323
154,92	-0,888	1,807	-1,326
155,42	-0,861	1,820	-1,301
155,93	-0,871	1,807	-1,328
156,45	-0,885	1,800	-1,363
156,95	-0,895	1,796	-1,358
157,46	-0,895	1,791	-1,343
157,98	-0,882	1,788	-1,324
158,48	-0,871	1,810	-1,290
158,99	-0,852	1,827	-1,279
159,49	-0,875	1,796	-1,315
159,99	-0,900	1,786	-1,343
160,50	-0,910	1,783	-1,354
161,00	-0,899	1,793	-1,332
161,52	-0,887	1,802	-1,320
162,03	-0,892	1,803	-1,318
162,53	-0,890	1,803	-1,308
163,03	-0,869	1,796	-1,286
163,53	-0,846	1,794	-1,277
164,04	-0,829	1,830	-1,290
164,54	-0,817	1,845	-1,310
165,04	-0,819	1,845	-1,317
165,56	-0,814	1,846	-1,318
166,07	-0,813	1,847	-1,316
166,57	-0,812	1,845	-1,311
167,09	-0,813	1,845	-1,312
167,59	-0,812	1,846	-1,312
168,10	-0,808	1,845	-1,312
168,61	-0,797	1,823	-1,287
169,11	-0,784	1,782	-1,237
169,63	-0,823	1,818	-1,267
170,14	-0,803	1,841	-1,292
170,65	-0,795	1,848	-1,281
171,15	-0,806	1,841	-1,274
171,66	-0,843	1,809	-1,272
172,18	-0,879	1,791	-1,296
172,69	-0,895	1,785	-1,315
173,20	-0,866	1,812	-1,282
173,72	-0,830	1,835	-1,282
174,22	-0,825	1,843	-1,296
174,72	-0,846	1,827	-1,295
175,23	-0,844	1,822	-1,295
175,73	-0,854	1,812	-1,309
176,25	-0,829	1,829	-1,290
176,76	-0,799	1,842	-1,283
177,27	-0,798	1,841	-1,274
177,77	-0,825	1,828	-1,279
178,27	-0,825	1,829	-1,279
178,79	-0,815	1,833	-1,274
179,29	-0,804	1,837	-1,270
179,79	-0,801	1,841	-1,276
180,29	-0,805	1,836	-1,270
180,80	-0,812	1,831	-1,272
181,30	-0,814	1,835	-1,272
181,80	-0,814	1,838	-1,270
182,31	-0,820	1,842	-1,261
182,83	-0,826	1,839	-1,258
183,33	-0,833	1,845	-1,258
183,84	-0,825	1,849	-1,259
184,35	-0,820	1,850	-1,254
184,85	-0,834	1,840	-1,263
185,36	-0,862	1,816	-1,282
185,88	-0,839	1,841	-1,274
186,38	-0,824	1,847	-1,267
186,89	-0,823	1,852	-1,274
187,41	-0,827	1,850	-1,278
187,91	-0,837	1,847	-1,279
188,42	-0,838	1,845	-1,273
188,93	-0,822	1,875	-1,276
189,45	-0,826	1,855	-1,253
189,96	-0,833	1,847	-1,255
190,46	-0,845	1,843	-1,259
190,97	-0,834	1,845	-1,259
191,49	-0,830	1,845	-1,267
191,99	-0,830	1,842	-1,269
192,49	-0,827	1,841	-1,271
192,99	-0,829	1,840	-1,270
193,49	-0,841	1,834	-1,268
194,00	-0,890	1,812	-1,301
194,50	-0,949	1,791	-1,328
195,02	-0,933	1,785	-1,255
195,52	-0,863	1,803	-1,248
196,02	-0,830	1,839	-1,253
196,52	-0,798	1,846	-1,251
197,04	-0,810	1,827	-1,278
197,54	-0,848	1,805	-1,307
198,04	-0,831	1,811	-1,300
198,54	-0,807	1,828	-1,282
199,05	-0,807	1,839	-1,271
199,55	-0,812	1,846	-1,284
200,05	-0,827	1,849	-1,310
200,56	-0,827	1,847	-1,309
201,06	-0,823	1,844	-1,297
201,57	-0,816	1,839	-1,285
202,07	-0,815	1,841	-1,282
202,57	-0,818	1,846	-1,284
203,07	-0,819	1,847	-1,283
203,57	-0,834	1,846	-1,276
204,09	-0,844	1,845	-1,268
204,60	-0,847	1,844	-1,265
205,10	-0,847	1,844	-1,264
205,61	-0,874	1,804	-1,266
206,11	-0,916	1,790	-1,306
206,63	-0,926	1,785	-1,340
207,14	-0,926	1,782	-1,338
207,64	-0,922	1,790	-1,320
208,16	-0,863	1,824	-1,273
208,67	-0,834	1,833	-1,275
209,18	-0,829	1,832	-1,275
209,68	-0,835	1,833	-1,284
210,18	-0,833	1,836	-1,285
210,70	-0,825	1,837	-1,284
211,20	-0,826	1,837	-1,287
211,70	-0,825	1,835	-1,282
212,21	-0,816	1,830	-1,274
212,71	-0,817	1,830	-1,267
213,21	-0,823	1,836	-1,267
213,72	-0,823	1,840	-1,274
214,24	-0,821	1,844	-1,279
214,74	-0,822	1,844	-1,280
215,25	-0,823	1,843	-1,284
215,77	-0,822	1,843	-1,288
216,27	-0,814	1,848	-1,278
216,78	-0,781	1,868	-1,264
217,28	-0,753	1,876	-1,255
217,78	-0,754	1,859	-1,262
